PVMonth,PVDay,PVHour,TotalkWh,AvgkWh,MaxkWh,MinkWh,ProdkWh62032213_2019,ProdkWh62032213_2020,ProdkWh62032213_2021,ProdkWh62032213_2022,ProdkWh84071567_2019,ProdkWh84071567_2020,ProdkWh84071567_2021,ProdkWh84071567_2022,ProdkWh84071569_2019,ProdkWh84071569_2020,ProdkWh84071569_2021,ProdkWh84071569_2022,ProdkWh84071570_2019,ProdkWh84071570_2020,ProdkWh84071570_2021,ProdkWh84071570_2022
1,1,8,0.15,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
1,1,9,7.68,0.48,0.8,0.0,0.8,0.8,0.0,0.8,0.2,0.49,0.29,0.39,0.55,0.28,0.28,0.55,0.45,0.45,0.6,0.75
1,1,10,41.79,2.61,6.99,0.8,6.99,6.59,0.8,4.19,1.08,1.57,1.47,1.37,1.1,1.1,1.1,1.38,5.25,0.9,2.85,4.05
1,1,11,95.36,5.96,11.18,1.8,11.18,10.78,1.8,5.19,6.85,3.13,5.38,5.28,4.41,4.41,4.69,3.31,10.2,3.6,7.05,8.1
1,1,12,130.0,8.12,12.78,2.6,12.78,12.18,2.6,5.59,10.76,5.38,5.67,8.22,8.55,7.72,9.1,8.0,11.55,6.9,5.85,9.15
1,1,13,146.13,9.13,13.38,4.59,13.38,12.98,4.59,8.78,12.42,10.57,6.55,5.97,9.93,9.38,8.0,9.38,11.7,11.4,4.95,6.15
1,1,14,146.2,9.14,12.78,4.14,12.78,12.38,7.79,6.39,11.74,10.57,9.2,7.83,9.93,9.65,4.14,8.55,10.8,9.6,5.4,9.45
1,1,15,104.22,6.51,10.98,2.76,10.98,10.38,7.39,3.19,4.01,4.11,2.84,4.5,8.27,8.0,2.76,6.89,8.7,8.1,7.05,7.05
1,1,16,64.24,4.01,6.07,0.59,5.99,5.79,3.59,4.19,0.59,1.47,1.47,1.47,6.07,5.51,3.86,4.14,5.55,4.35,4.8,5.4
1,1,17,16.17,1.01,2.21,0.39,0.8,0.6,0.6,0.6,0.39,0.68,0.49,0.59,2.21,0.83,0.83,1.1,1.95,1.35,1.95,1.2
1,1,18,0.68,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.28,0.0,0.0,0.15,0.0,0.15,0.0
1,2,8,0.28,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
1,2,9,7.77,0.49,1.05,0.0,0.8,0.8,0.6,0.0,0.29,0.2,0.88,0.29,0.55,0.28,0.28,0.55,0.75,0.15,1.05,0.3
1,2,10,37.37,2.34,6.79,0.6,6.79,5.79,6.59,0.6,1.08,0.78,1.47,0.68,0.83,1.38,1.1,0.83,4.65,0.9,3.15,0.75
1,2,11,81.27,5.08,11.18,1.08,11.18,7.99,10.38,1.4,6.65,1.47,6.65,1.08,4.41,3.31,4.69,3.31,5.1,2.25,10.05,1.35
